Algoritmo,Tamanho,Tempo(ns),Operacoes
Codigo1,500000,1343100,250000
Codigo1,1000000,298600,500000
Codigo1,2000000,631000,1000000
Codigo1,3000000,784600,1500000
Codigo1,5000000,1298900,2500000
Codigo1,10000000,2603100,5000000
Codigo2,500000,1950200,1000006
Codigo2,1000000,503800,2000006
Codigo2,2000000,7800,4000006
Codigo2,3000000,1400,6000005
Codigo2,5000000,1400,10000008
Codigo2,10000000,1600,20000008
Codigo3,12500,35122100,78118750
Codigo3,25000,112929800,312487500
Codigo3,50000,484107000,1249975000
Codigo3,100000,1838123400,704982704
Codigo3,200000,7308429100,-1474936480
Codigo4,3,6500,2
Codigo4,6,1300,8
Codigo4,12,21900,144
Codigo4,24,292300,46368
Codigo4,48,9328580500,512559680
